queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2000,0,0
261,1739,48692
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
0,2000,56000
2000,2000,56000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
0,4000,112000
2000,4000,112000
1630,4370,122360
1556,4444,124432
2,5998,167944
0,6000,168000
0,6000,168000
0,6000,168000
0,6000,168000
0,6000,168000
0,6000,168000
2000,6000,168000
187,7813,218764
0,8000,224000
0,8000,224000
0,8000,224000
0,8000,224000
0,8000,224000
0,8000,224000
0,8000,224000
0,8000,224000
2000,8000,224000
1075,8925,249900
113,9887,276836
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
0,10000,280000
2000,10000,280000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
0,12000,336000
2000,12000,336000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
0,14000,392000
2000,14000,392000
742,15258,427224
2,15998,447944
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
0,16000,448000
2000,16000,448000
1667,16333,457324
0,18000,504000
0,18000,504000
0,18000,504000
0,18000,504000
0,18000,504000
0,18000,504000
0,18000,504000
0,18000,504000
2000,18000,504000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
0,20000,560000
2000,20000,560000
76,21924,613872
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
0,22000,616000
2000,22000,616000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
0,24000,672000
2000,24000,672000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
0,26000,728000
2000,26000,728000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
0,28000,784000
